;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
1;12.091.809/0001-55;25291;3R PETROLEUM OLÉO E GÁS S.A.;;2010-06-08;Petróleo e Gás;FASE OPERACIONAL;PRIVADO;Praia de Botafogo, 186;SL 1401, 1501;Botafogo;RIO DE JANEIRO;RJ;22250145.0;KPMG AUDITORES INDEPENDENTES LTDA.;Exploração e produção de petróleo e gás natural (segmento upstream), e atuação nos segmentos midstream e downstream.;http://ri.3rpetroleum.com.br/;['RRRP3'];True
3;01.851.771/0001-55;16284;524 PARTICIPAÇOES SA;524 PARTICIPACOES SA;1997-04-02;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Av. Presidente Antônio Carlos, nº 51;10º andar (pte);Centro;RIO DE JANEIRO;RJ;20020010.0;BKR - LOPES, MACHADO AUDITORES;Holding - participação em outras sociedades;http://www.524participacoes.com.br/home/index.aspx;['QVQP3'];False
6;12.528.708/0001-07;25283;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;;2020-08-17;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rodovia CE-155;km. 2;CIPP;CAUCAIA;CE;61642000.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Exploração de negócio de construção e comercialização de pás de rotores para turbinas utilizadas na geração eólica de energia.;www.ri.aerisenergy.com.br;['AERI3'];False
7;37.663.076/0001-07;25640;AES Brasil Energia S/A;AES BRASIL ENERGIA S.A.;2020-03-20;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Av. Luiz Carlos Berrini, 1.376;12º Andar Torre A;Brooklin Paulista;SÃO PAULO;SP;4571936.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;HOLDING DE INSTITUIÇÕES NÃO FINANCEIRAS;http://ri.aesbrasil.com.br;['AESB3'];False
8;00.194.724/0001-13;26174;AES BRASIL OPERAÇÕES S.A.;AES BRASIL OPERAÇÕES S.A.;1994-09-14;Energia Elétrica;PARALISADA;PRIVADO HOLDING;Rodovia SP 294 - Comandante João Ribeiro de Barros, Km 348;Sala 07;Distrito Industrial;BAURU;SP;17064868.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Geração e comercialização de energia elétrica;http://ri.aesbrasil.com.br;['AESO3'];False
9;10.338.320/0001-00;22179;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;2008-08-18;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Praia do Flamengo, 78;10º andar;Flamengo;RIO DE JANEIRO;RJ;22210904.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Transmissão de Energia Elétrica;http://ri.neoenergia.com/;['AFLT3'];False
11;21.240.146/0001-84;25658;AGROGALAXY PARTICIPAÇÕES S.A;AGROGALAXY PARTICIPAÇÕES S.A;2014-10-02;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Iguatemi, 192;10º andar;Itaim Bibi;SÃO PAULO;SP;1451010.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Comércio de insumos agrícolas (fertilizantes, defensivos biológicos, inoculantes e sementes) e de grãos;http://ri.agrogalaxy.com.br;['AGXY3'];False
17;17.167.396/0001-69;9954;ALFA HOLDINGS S.A.;ALFA HOLDINGS;1969-08-11;Intermediação Financeira;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Paulista, 2.150;17 andar;Bela Vista;SÃO PAULO;SP;1310300.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Emp. Adm. Part. - Intermediação Financeira;www.bancoalfa.com.br;['RPAD3', 'RPAD6', 'RPAD5'];False
19;42.771.949/0001-35;24058;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;1992-08-05;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, 1830;Sala 111 - Bloco 1;Vila Nova Conceição;SÃO PAULO;SP;4543900.0;BKR - LOPES, MACHADO AUDITORES;Prestação de serviços de medicina diagnóstica;https://ri.allianca.com/;['AALR3'];False
20;20.247.322/0001-47;25330;ALLIED TECNOLOGIA S.A.;ALLIED TECNOLOGIA S.A.;2014-04-10;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida das Nações Unidas, n° 12.995;22° (parte) e 23º;Brooklin Paulista;SÃO PAULO;SP;4578911.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Desenvolvimento e licenciamento de plataformas digitais para comercialização de serviços de tecnologia, além de soluções logísticas e de distribuição de produtos.;http://www.ri.alliedbrasil.com.br;['ALLD3'];False
