Code;Details
18554;CRÉDITO, FINANCIAMENTO E INVESTIMENTO (REGISTRO ATIVO)
900049;1461 INVESTIMENTOS S.A (REGISTRO ATIVO)
252224;2W ECOBANK S.A.
25224;2W ECOBANK S.A. (REGISTRO ATIVO)
917581;2W ENERGIA S.A. (REGISTRO ATIVO)
21954;3A COMPANHIA SECURITIZADORA (REGISTRO CANCELADO)
50407;3M CISAO (REGISTRO ATIVO)
50504;3M COMPANY (REGISTRO ATIVO)
25291;3R PETROLEUM ÓLEO E GÁS S.A (REGISTRO ATIVO)
900025;3R POTIGUAR S.A (REGISTRO ATIVO)
908830;3Z REALTY DESENVOLVIMENTO IMOBILIARIO S/A (REGISTRO ATIVO)
16330;EM LIQUIDAÇÃO EXTRAJUDICIAL (REGISTRO ATIVO)
16284;524 PARTICIPACOES S.A. (REGISTRO ATIVO)
16349;525 PARTICIPAÇOES SA (REGISTRO CANCELADO)
91154;RIO PARANA ENERGIA S/A (INATIVA) (REGISTRO CANCELADO)
904110;A  GERADORA  ALUGUEL DE MAQUINAS S.A. (REGISTRO ATIVO)
901082;A BODYTECH PARTICIPACOES S.A. (REGISTRO ATIVO)
917521;A. ANGELONI & CIA LTDA (REGISTRO ATIVO)
900151;A. YOSHII ENGENHARIA E CONSTRUÇÕES LTDA (REGISTRO ATIVO)
16802;A.P. PARTICIPAÇOES SA (REGISTRO CANCELADO)
910141;AB CONCESSOES S.A. (REGISTRO ATIVO)
900043;ABA PORTO PARTICIPACOES S/A (REGISTRO ATIVO)
900068;ABAPORU PARTICIPACOES S/A (REGISTRO ATIVO)
56464;ABB LTD (REGISTRO ATIVO)
50512;ABBOTT LABORATORIES (REGISTRO ATIVO)
51071;ABBVIE INC. (REGISTRO ATIVO)
900063;ABC BRASIL COMERCIALIZADORA DE ENERGIA LTDA (REGISTRO ATIVO)
13307;ABC DADOS E INFORMATICA SA (REGISTRO CANCELADO)
16934;ABC SUPERMERCADOS SA (REGISTRO CANCELADO)
13005;ABC XTAL MICROELETRONICA SA (REGISTRO CANCELADO)
900050;ABIMEX IMPORTACAO E EXPORTACAO S/A (REGISTRO ATIVO)
55239;ABIOMED INC (REGISTRO ATIVO)
15270;ABN AMRO ARRENDAMENTO MERCANTIL SA (REGISTRO CANCELADO)
57762;ABN AMRO BANK N.V (REGISTRO ATIVO)
50335;ABRDN PHYSICAL GOLD SHARES ETF (REGISTRO ATIVO)
50327;ABRDN PHYSICAL SILVER SHARES ETF (REGISTRO ATIVO)
909689;ABRIL COMUNICACOES S.A. (REGISTRO ATIVO)
14370;ABRIL SA (REGISTRO CANCELADO)
