cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker
08.773.135/0001-00;25224;2W ECOBANK S.A.;2W ECOBANK S.A.;2007-03-23;Energia Elétrica;FASE OPERACIONAL;PRIVADO;Avenida Doutor Chucri Zaidan, 1240 - Ed Morumbi Golden Tower;Torre A-27º- SL 21;Vila São Francisco;SÃO PAULO;SP;4711130.0;KPMG AUDITORES ASSOCIADOS;Comercialização de energia elétrica, atuando como agente comercializador e varejista, importação e exportação de energia elétrica, serviços de consultoria e participação em outras sociedades.;https://ri.2wecobank.com.br/;
12.091.809/0001-55;25291;3R PETROLEUM OLÉO E GÁS S.A.;;2010-06-08;Petróleo e Gás;FASE OPERACIONAL;PRIVADO;Praia de Botafogo, 186;SL 1401, 1501;Botafogo;RIO DE JANEIRO;RJ;22250145.0;KPMG AUDITORES INDEPENDENTES LTDA.;Exploração e produção de petróleo e gás natural (segmento upstream), e atuação nos segmentos midstream e downstream.;http://ri.3rpetroleum.com.br/;['RRRP3']
01.547.749/0001-16;16330;521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;521 PARTICIPAÇÕES S/A;1996-07-30;Energia Elétrica;LIQUIDAÇÃO EXTRAJUDICIAL;PRIVADO;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;RIO DE JANEIRO;RJ;22775003.0;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;Participação direta ou indireta em outras sociedades, empreendimentos e consórcios, como acionistas, sócia, quotista ou consorciada.;;
01.851.771/0001-55;16284;524 PARTICIPAÇOES SA;524 PARTICIPACOES SA;1997-04-02;Sem Setor Principal;FASE OPERACIONAL;PRIVADO;Av. Presidente Antônio Carlos, nº 51;10º andar (pte);Centro;RIO DE JANEIRO;RJ;20020010.0;BKR - LOPES, MACHADO AUDITORES;Holding - participação em outras sociedades;http://www.524participacoes.com.br/home/index.aspx;['QVQP3']
07.636.657/0001-99;26425;ACO VERDE DO BRASIL S.A;AÃO VERDE DO BRASIL S.A;1985-05-07;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rodovia BR 222, Km 14,5;Gleba Itinga,Lote 71;Distrito de Pequiá;AÇAILÂNDIA;MA;65930000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Industrialização, comercialização, inclusive importação e exportação de produtos siderúrgicos, em especial aço e ferro gusa em todas as suas formas e seus subprodutos.;ri.avb.com.br;
08.827.501/0001-58;23396;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;2007-03-26;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Brigadeiro Faria Lima, n° 1663;1 andar, sl01;Jardim Paulistano;SÃO PAULO;SP;1452001.0;KPMG AUDITORES INDEPENDENTES LTDA.;Participação e administração de investimentos como sócia ou acionista, atividades de tratamento de água e esgoto e limpeza urbana e outras atividades relacionadas a saneamento básico;https://ri.aegea.com.br/;
12.528.708/0001-07;25283;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;;2020-08-17;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rodovia CE-155;km. 2;CIPP;CAUCAIA;CE;61642000.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Exploração de negócio de construção e comercialização de pás de rotores para turbinas utilizadas na geração eólica de energia.;www.ri.aerisenergy.com.br;['AERI3']
37.663.076/0001-07;25640;AES Brasil Energia S/A;AES BRASIL ENERGIA S.A.;2020-03-20;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Av. Luiz Carlos Berrini, 1.376;12º Andar Torre A;Brooklin Paulista;SÃO PAULO;SP;4571936.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;HOLDING DE INSTITUIÇÕES NÃO FINANCEIRAS;http://ri.aesbrasil.com.br;['AESB3']
00.194.724/0001-13;26174;AES BRASIL OPERAÇÕES S.A.;AES BRASIL OPERAÇÕES S.A.;1994-09-14;Energia Elétrica;PARALISADA;PRIVADO HOLDING;Rodovia SP 294 - Comandante João Ribeiro de Barros, Km 348;Sala 07;Distrito Industrial;BAURU;SP;17064868.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Geração e comercialização de energia elétrica;http://ri.aesbrasil.com.br;['AESO3']
10.338.320/0001-00;22179;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A;2008-08-18;Energia Elétrica;FASE OPERACIONAL;PRIVADO HOLDING;Praia do Flamengo, 78;10º andar;Flamengo;RIO DE JANEIRO;RJ;22210904.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Transmissão de Energia Elétrica;http://ri.neoenergia.com/;['AFLT3']
04.212.396/0001-91;27324;AGASUS S.A.;AGASUS S.A;2011-09-05;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Avenida Guido Caloi, nº 1985;Galpão 23;Jardim São Luís;SÃO PAULO;SP;5802140.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Tecnologia e Informática;;
21.240.146/0001-84;25658;AGROGALAXY PARTICIPAÇÕES S.A;AGROGALAXY PARTICIPAÇÕES S.A;2014-10-02;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Iguatemi, 192;10º andar;Itaim Bibi;SÃO PAULO;SP;1451010.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Comércio de insumos agrícolas (fertilizantes, defensivos biológicos, inoculantes e sementes) e de grãos;http://ri.agrogalaxy.com.br;['AGXY3']
27.157.474/0001-06;25615;ÁGUAS DE TERESINA SANEAMENTO SPE S.A.;ÁGUAS DE TERESINA SANEAMENTO SPE S.A.;2017-02-21;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Avenida Professor Camilo Filho, n° 1.960;;Todos os Santos;TERESINA;PI;64089040.0;KPMG AUDITORES INDEPENDENTES LTDA.;Serviços públicos de abastecimento de água potável e esgotamento sanitário no Município de Teresina/PI.;https://ri.aegea.com.br/debentures-companhias-abertas/aguas-de-teresina/;
42.310.775/0001-03;26735;ÁGUAS DO RIO 1 SPE S.A.;ÁGUAS DO RIO 1 SPE S.A.;2021-05-26;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Avenida Rodrigues Alves, nº 10;Armazém 2, Bloco 1;Saúde;RIO DE JANEIRO;RJ;20081250.0;KPMG AUDITORES INDEPENDENTES LTDA.;Prestação regionalizada dos serviços de abastecimento de água e esgotamento sanitário na área da concessão relativos a 18 municípios no Rio de Janeiro, além de 18 bairros na capital do estado.;https://ri.aegea.com.br/debentures-companhias-abertas/aguas-do-rio/;
42.644.220/0001-06;26743;ÁGUAS DO RIO 4 SPE S.A.;ÁGUAS DO RIO 4 SPE S.A.;2021-05-26;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Avenida Rodrigues Alves, nº 10;Armazém 2, Bloco 4;Saúde;RIO DE JANEIRO;RJ;20081250.0;KPMG AUDITORES INDEPENDENTES LTDA.;Prestação generalizada dos serviços de abastecimento de água e esgotamento sanitário na área da concessão relativos a 8 municípios no Rio de Janeiro, além de 106 bairros na capital do estado.;https://ri.aegea.com.br/debentures-companhias-abertas/aguas-do-rio-4/;
45.456.117/0001-12;27359;ÁGUAS DO SERTAO S.A.;ÁGUAS DO SERTAO S.A.;2022-02-01;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO HOLDING;"Praça Comendador Peixoto, 117, sala ""I"", Centro";;Centro Histórico;PENEDO;AL;57200000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;O principal ramo de atividade da Companhia é a prestação regionalizada de atividadesintegradas que compreendem a totalidade dos serviços a serem prestados pela Companhianos termos do Contrato de Con;https://aguasdosertao.com/;
04.089.570/0001-50;23442;AGUAS GUARIROBA S.A.;AGUAS GUARIROBA S.A;2000-09-29;Saneamento, Serv. Água e Gás;FASE OPERACIONAL;PRIVADO;Rua Antonio Maria Coelho, n.º 5401;;Santa Fé;CAMPO GRANDE;MS;79021170.0;KPMG AUDITORES INDEPENDENTES LTDA.;A Companhia presta serviços públicos de abastecimento de água e esgotamento sanitário emtoda a área territorial do município de Campo Grande, Estado do Mato Grosso do Sul.;https://ri.aegea.com.br/debentures-companhias-abertas/aguas-guariroba/;
17.167.396/0001-69;9954;ALFA HOLDINGS S.A.;ALFA HOLDINGS;1969-08-11;Intermediação Financeira;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Paulista, 2.150;17 andar;Bela Vista;SÃO PAULO;SP;1310300.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Emp. Adm. Part. - Intermediação Financeira;www.bancoalfa.com.br;['RPAD3', 'RPAD6', 'RPAD5']
71.208.516/0001-74;21032;ALGAR TELECOM S/A;CTBC TELECOM;2004-01-01;Telecomunicações;FASE OPERACIONAL;PRIVADO;Rua José Alves Garcia, 415;-;Brasil;UBERLÂNDIA;MG;38400668.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Serviços de Telecomunicações em geral;http://www.algartelecom.com.br;
42.771.949/0001-35;24058;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;1992-08-05;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, 1830;Sala 111 - Bloco 1;Vila Nova Conceição;SÃO PAULO;SP;4543900.0;BKR - LOPES, MACHADO AUDITORES;Prestação de serviços de medicina diagnóstica;https://ri.allianca.com/;['AALR3']
20.247.322/0001-47;25330;ALLIED TECNOLOGIA S.A.;ALLIED TECNOLOGIA S.A.;2014-04-10;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida das Nações Unidas, n° 12.995;22° (parte) e 23º;Brooklin Paulista;SÃO PAULO;SP;4578911.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Desenvolvimento e licenciamento de plataformas digitais para comercialização de serviços de tecnologia, além de soluções logísticas e de distribuição de produtos.;http://www.ri.alliedbrasil.com.br;['ALLD3']
05.878.397/0001-32;22357;ALLOS S.A.;ALLOS S.A.;2003-07-17;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;Avenida Afrânio de Melo Franco, 290;1º andar;Leblon;RIO DE JANEIRO;RJ;22430060.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Planejamento, desenvolvimento, implantação e investimentos na área imobiliária, nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário.;www.allos.co;['ALOS3']
60.537.263/0001-66;24953;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;1989-04-19;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Avenida Presidente Juscelino Kubitschek, 1830;Torre 3 - 3º andar;Vila Nova Conceição;SÃO PAULO;SP;4543000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Outras atividades de publicidade não especificadas anteriormente gestão de ativos intangíveis não-financeiros outras atividades de serviços pessoais não especificadas anteriormente.;https://ri.estapar.com.br;['ALPK3']
82.120.676/0001-83;26395;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;1990-08-01;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Av. Brigadeiro Faria Lima, n°2.277, 16° andar, conj.1.604;Ed Plaza Iguatemi;Jardim Paulistano;SÃO PAULO;SP;1452000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Empresa full service no setor de shopping centers. Suas atividades englobam a concepção, o planejamento, o desenvolvimento e a administração de shopping centers regionais e complexos imobiliários.;https://www.almeidajunior.com.br;
61.079.117/0001-05;10456;ALPARGATAS SA;ALPARGATAS;1907-04-03;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Av. das Nações Unidas, 14261;Ala A, 10o andar;Vila Gertrudes;SÃO PAULO;SP;4794000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Indústria e comércio de calçados e artigos esportivos;www.alpargatas.com.br;['ALPA3', 'ALPA4']
11.721.921/0001-60;22217;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;BR INSURANCE CORRETORA DE SEGUROS S.A.;2010-03-10;Seguradoras e Corretoras;FASE OPERACIONAL;PRIVADO;Rua Gilberto Sabino;215 - 13º andar;Pinheiros;SÃO PAULO;SP;5425020.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Companhia tem por objeto social a corretagem e administração de seguros de todos os ramos, participação no capital social de outras sociedades e prestação de serviços de consultoria empresarial.;https://www.alperseguros.com.br;['APER3']
16.811.931/0001-00;25275;ALPHAVILLE S.A.;;2012-02-13;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida das Nações Unidas, 14.171;7º andar-Torre A;Vila Gertrudes;SÃO PAULO;SP;4794000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Holding controladora de empresas que atuam no setor de urbanismo e desenvolvimento de empreendimentos imobiliários.;https://www.alphaville.com.br/home;['AVLL3']
02.783.423/0001-50;18066;ALTERE SECURITIZADORA S.A.;ALTERE SECURITIZADORA S/A;1998-09-14;Securitização de Recebíveis;FASE OPERACIONAL;PRIVADO HOLDING;Av. Amador Bueno da Veiga, 1.230;sala 702 parte;Penha de França;SÃO PAULO;SP;3636100.0;ECOVIS WFA AUDITORES INDEPENDENTES S/S;aquisição e securitização de recebíveis imobiliários e agrícola, a emissão e colocação nomercado financeiro, de Certificados e Recebíveis Imobiliários, Certificados de RecebíveisAgrícolas e Créditos;www.alteresec.com.br;
